Timestamp,Please select an age Group:,Sex:,Do you pay attention to online advertisements?,Have you ever bought a product seeing online advertisements?,How often do you click advertisements seen in social media platforms?,What type of advertisements would you be tempted to click?,Do you think advertisements are personalized according to your previous searches?,Have you ever been tricked into clicking advertisements?,"If yes then, after being tricked, what did you decide to do?",How much influence do you think online advertisements have over your buying behavior?,Which online advertisement is the most influential on your buying behavior?,What do you think are the advantages of online advertisements?,What do think are the disadvantages of online advertisements?,"Overall, do you think online advertisements have a positive or negative impact on your browsing experience?",What do you think is the most important to draw your attention towards an online advertisement?
4/15/2022 18:02:11,25 to 30 years,Male,Sometimes,No,Rarely,Fascinating products,Yes,Yes,Didn’t buy the product,Partly influence,Youtube ads,Creates an awareness of brand,Manipulates you to buy products,Negative impact,Information seen in the ad
4/15/2022 18:14:02,25 to 30 years,Female,Sometimes,Yes,Sometimes,Fascinating products,Yes,Yes,Didn’t buy the product,High influence,Youtube ads,Creates personalized experience,Distractive,Negative impact,Information seen in the ad
4/15/2022 18:41:38,20 to 25 years,Male,Sometimes,Yes,Sometimes,Fascinating products,Yes,Yes,Didn’t buy the product,Partly influence,Instagram ads,Creates personalized experience,Manipulates you to buy products,Positive impact,Visual design
4/15/2022 19:27:12,20 to 25 years,Female,Rarely,No,Rarely,Fascinating products,Yes,Yes,Didn’t buy the product,Partly influence,Facebook ads,Helps in comparison shopping,Distractive,Negative impact,Information seen in the ad
4/15/2022 20:44:08,25 to 30 years,Female,Rarely,No,Rarely,Relevant ads,Yes,Yes,Never been tricked,Partly influence,Google ads,Informative,Privacy concerns,Negative impact,The product itself
4/15/2022 22:05:47,20 to 25 years,Female,Sometimes,Yes,Sometimes,Fascinating products,Yes,Yes,Didn’t buy the product,Less influence,Instagram ads,Informative,Manipulates you to buy products,Positive impact,The product itself
4/16/2022 2:09:34,20 to 25 years,Female,Sometimes,Yes,Sometimes,Fascinating products,Yes,Yes,Didn’t buy the product,Partly influence,Instagram ads,Helps in comparison shopping,Distractive,Positive impact,Visual design
4/16/2022 2:21:51,20 to 25 years,Female,Sometimes,Yes,Sometimes,Relevant ads,Yes,Yes,Didn’t buy the product,Partly influence,Youtube ads,Saves time,Manipulates you to buy products,Positive impact,Visual design
4/16/2022 4:18:33,20 to 25 years,Female,Sometimes,No,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,No influence,Instagram ads,Creates personalized experience,Privacy concerns,Negative impact,Visual design
4/16/2022 8:43:42,25 to 30 years,Male,Never,Yes,Sometimes,Offers and Discounts,No,No,Never been tricked,Partly influence,Instagram ads,Creates personalized experience,Not true to claims,Positive impact,Information seen in the ad
4/16/2022 9:24:12,35 years and above,Male,Sometimes,Yes,Sometimes,Relevant ads,Yes,No,Never been tricked,Partly influence,Youtube ads,Informative,Privacy concerns,Negative impact,The product itself
4/16/2022 9:32:12,15 to 20 years,Female,Often,Yes,Sometimes,Offers and Discounts,Yes,Yes,Didn’t buy the product,High influence,Instagram ads,Creates personalized experience,Manipulates you to buy products,Positive impact,Information seen in the ad
4/16/2022 14:52:33,25 to 30 years,Male,Sometimes,Yes,Rarely,Offers and Discounts,Yes,Yes,Didn’t buy the product,Partly influence,Youtube ads,Informative,Manipulates you to buy products,Negative impact,Visual design
4/16/2022 16:54:51,15 to 20 years,Male,Often,Yes,Sometimes,Fascinating products,Yes,Yes,Bought the product,High influence,Google ads,Saves time,Not true to claims,Positive impact,Information seen in the ad
4/16/2022 21:16:50,25 to 30 years,Male,Rarely,No,Never,Relevant ads,No,No,Never been tricked,Less influence,Youtube ads,Informative,Distractive,Negative impact,The product itself
4/17/2022 6:12:56,15 to 20 years,Female,Sometimes,No,Rarely,Relevant ads,Yes,Yes,Didn’t buy the product,Less influence,Instagram ads,Helps in comparison shopping,Distractive,Negative impact,The product itself
4/17/2022 6:16:04,20 to 25 years,Female,Sometimes,No,Rarely,Relevant ads,Yes,No,Never been tricked,No influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,The product itself
4/17/2022 7:16:30,15 to 20 years,Female,Rarely,No,Rarely,Fascinating products,Yes,No,Never been tricked,No influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,Visual design
4/18/2022 5:56:50,35 years and above,Male,Sometimes,Yes,Sometimes,Relevant ads,No,Yes,Didn’t buy the product,Partly influence,Google ads,Informative,Not true to claims,Negative impact,The product itself
4/18/2022 5:58:01,35 years and above,Female,Sometimes,Yes,Sometimes,Fascinating products,Yes,Yes,Didn’t buy the product,Less influence,Instagram ads,Informative,Privacy concerns,Negative impact,The product itself
4/18/2022 6:03:07,20 to 25 years,Female,Sometimes,Yes,Often,Relevant ads,Yes,No,Never been tricked,Partly influence,Youtube ads,Creates personalized experience,Privacy concerns,Negative impact,The product itself
4/18/2022 6:07:25,35 years and above,Male,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,No,Never been tricked,Less influence,Facebook ads,Helps in comparison shopping,Privacy concerns,Positive impact,Information seen in the ad
4/18/2022 6:09:35,35 years and above,Female,Sometimes,Yes,Sometimes,Fascinating products,Yes,No,Never been tricked,High influence,Facebook ads,Informative,Manipulates you to buy products,Negative impact,Visual design
4/18/2022 6:10:31,35 years and above,Male,Sometimes,No,Never,Offers and Discounts,No,Yes,Didn’t buy the product,Less influence,Facebook ads,Helps in comparison shopping,Manipulates you to buy products,Positive impact,Visual design
4/18/2022 6:16:05,35 years and above,Female,Rarely,Yes,Rarely,Relevant ads,Yes,No,Never been tricked,Less influence,Facebook ads,Helps in comparison shopping,Manipulates you to buy products,Positive impact,Visual design
4/18/2022 6:18:47,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Didn’t buy the product,Partly influence,Youtube ads,Creates personalized experience,Distractive,Positive impact,The product itself
4/18/2022 6:19:20,20 to 25 years,Female,Sometimes,Yes,Sometimes,Relevant ads,Yes,No,Never been tricked,High influence,Instagram ads,Informative,Distractive,Positive impact,Information seen in the ad
4/18/2022 6:19:53,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Didn’t buy the product,Less influence,Instagram ads,Informative,Not true to claims,Negative impact,Information seen in the ad
4/18/2022 6:19:59,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,No,Never been tricked,Partly influence,Instagram ads,Helps in comparison shopping,Distractive,Positive impact,Visual design
4/18/2022 6:31:20,35 years and above,Male,Sometimes,No,Sometimes,Relevant ads,Yes,Yes,Bought the product,Partly influence,Google ads,Saves time,Distractive,Positive impact,Visual design
4/18/2022 6:31:52,15 to 20 years,Male,Sometimes,Yes,Sometimes,Fascinating products,Yes,No,Never been tricked,High influence,Google ads,Saves time,Not true to claims,Positive impact,The product itself
4/18/2022 6:38:11,20 to 25 years,Female,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Didn’t buy the product,Partly influence,Youtube ads,Informative,Manipulates you to buy products,Positive impact,The product itself
4/18/2022 6:43:05,20 to 25 years,Female,Sometimes,Yes,Rarely,Fascinating products,Yes,Yes,Bought the product,Partly influence,Youtube ads,Informative,Manipulates you to buy products,Negative impact,Information seen in the ad
4/18/2022 6:56:22,35 years and above,Female,Sometimes,No,Rarely,Relevant ads,No,Yes,Didn’t buy the product,Less influence,Facebook ads,Helps in comparison shopping,Distractive,Positive impact,Visual design
4/18/2022 6:57:13,35 years and above,Male,Sometimes,Yes,Rarely,Relevant ads,Yes,Yes,Didn’t buy the product,High influence,Youtube ads,Informative,Manipulates you to buy products,Positive impact,Information seen in the ad
4/18/2022 7:59:20,35 years and above,Male,Often,Yes,Often,Offers and Discounts,Yes,No,Never been tricked,Partly influence,Facebook ads,Creates personalized experience,Manipulates you to buy products,Positive impact,Information seen in the ad
4/18/2022 17:00:26,20 to 25 years,Male,Rarely,Yes,Sometimes,Relevant ads,Yes,Yes,Didn’t buy the product,High influence,Google ads,Saves time,Manipulates you to buy products,Positive impact,Visual design
4/18/2022 18:06:06,35 years and above,Female,Sometimes,No,Never,Relevant ads,No,No,Never been tricked,No influence,Youtube ads,Helps in comparison shopping,Manipulates you to buy products,Negative impact,The product itself
4/18/2022 18:51:14,15 to 20 years,Male,Rarely,No,Rarely,Relevant ads,Yes,No,Never been tricked,No influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,The product itself
4/19/2022 3:04:42,20 to 25 years,Male,Sometimes,Yes,Sometimes,Fascinating products,Yes,No,Never been tricked,High influence,Google ads,Creates personalized experience,Distractive,Positive impact,Visual design
4/19/2022 3:22:31,25 to 30 years,Female,Sometimes,No,Rarely,Fascinating products,Yes,No,Never been tricked,No influence,Google ads,Creates personalized experience,Not true to claims,Negative impact,The product itself
4/19/2022 3:23:23,25 to 30 years,Male,Often,Yes,Rarely,Relevant ads,Yes,No,Never been tricked,Partly influence,Facebook ads,Informative,Not true to claims,Positive impact,Information seen in the ad
4/19/2022 3:24:31,15 to 20 years,Female,Often,Yes,Sometimes,Relevant ads,Yes,No,Never been tricked,Less influence,Instagram ads,Creates personalized experience,Privacy concerns,Positive impact,The product itself
4/19/2022 3:24:58,30 to 35 years,Male,Often,Yes,Sometimes,Relevant ads,Yes,No,Never been tricked,Partly influence,Youtube ads,Saves time,Not true to claims,Positive impact,Information seen in the ad
4/19/2022 3:27:33,15 to 20 years,Male,Sometimes,Yes,Rarely,Relevant ads,Yes,No,Never been tricked,Partly influence,Facebook ads,Saves time,Not true to claims,Positive impact,The product itself
4/19/2022 3:27:57,15 to 20 years,Female,Rarely,No,Sometimes,Fascinating products,Yes,No,Never been tricked,No influence,Instagram ads,Helps in comparison shopping,Distractive,Negative impact,The product itself
4/19/2022 3:29:56,20 to 25 years,Male,Often,Yes,Sometimes,Relevant ads,No,No,Never been tricked,Partly influence,Google ads,Saves time,Not true to claims,Positive impact,Information seen in the ad
4/19/2022 3:31:24,15 to 20 years,Female,Sometimes,No,Rarely,Relevant ads,Yes,Yes,Didn’t buy the product,No influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,The product itself
4/19/2022 3:32:27,25 to 30 years,Male,Often,Yes,Rarely,Fascinating products,Yes,No,Never been tricked,Partly influence,Facebook ads,Saves time,Not true to claims,Positive impact,The product itself
4/19/2022 3:35:13,30 to 35 years,Male,Often,Yes,Often,Fascinating products,Yes,No,Never been tricked,Partly influence,Youtube ads,Saves time,Not true to claims,Positive impact,The product itself
4/19/2022 3:40:17,35 years and above,Male,Often,Yes,Often,Relevant ads,No,No,Never been tricked,Partly influence,Facebook ads,Saves time,Manipulates you to buy products,Positive impact,The product itself
4/19/2022 3:41:13,15 to 20 years,Male,Rarely,No,Rarely,Relevant ads,Yes,No,Never been tricked,No influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,The product itself
4/19/2022 3:42:56,15 to 20 years,Male,Sometimes,Yes,Often,Relevant ads,Yes,No,Never been tricked,Partly influence,Youtube ads,Saves time,Manipulates you to buy products,Positive impact,Visual design
4/19/2022 3:43:11,15 to 20 years,Female,Sometimes,No,Rarely,Relevant ads,Yes,No,Never been tricked,No influence,Google ads,Helps in comparison shopping,Distractive,Negative impact,The product itself
4/19/2022 3:44:44,20 to 25 years,Male,Rarely,Yes,Sometimes,Fascinating products,Yes,No,Never been tricked,Partly influence,Youtube ads,Creates personalized experience,Not true to claims,Positive impact,Information seen in the ad
4/19/2022 3:46:18,25 to 30 years,Male,Often,Yes,Sometimes,Fascinating products,Yes,No,Never been tricked,Partly influence,Facebook ads,Saves time,Not true to claims,Positive impact,The product itself
4/19/2022 3:47:20,25 to 30 years,Male,Often,Yes,Often,Offers and Discounts,Yes,No,Never been tricked,High influence,Facebook ads,Saves time,Not true to claims,Positive impact,Information seen in the ad
4/19/2022 4:00:23,25 to 30 years,Male,Rarely,Yes,Often,Relevant ads,Yes,No,Never been tricked,High influence,Youtube ads,Saves time,Not true to claims,Positive impact,Information seen in the ad
4/19/2022 4:01:39,30 to 35 years,Male,Sometimes,Yes,Sometimes,Fascinating products,Yes,No,Never been tricked,High influence,Youtube ads,Saves time,Not true to claims,Positive impact,The product itself
4/19/2022 4:02:53,35 years and above,Male,Rarely,Yes,Rarely,Relevant ads,Yes,No,Never been tricked,High influence,Facebook ads,Saves time,Distractive,Positive impact,The product itself
4/19/2022 4:03:56,25 to 30 years,Male,Often,Yes,Often,Relevant ads,Yes,No,Never been tricked,High influence,Facebook ads,Helps in comparison shopping,Not true to claims,Positive impact,The product itself
4/19/2022 4:05:25,20 to 25 years,Male,Rarely,Yes,Sometimes,Relevant ads,Yes,No,Never been tricked,High influence,Facebook ads,Helps in comparison shopping,Manipulates you to buy products,Positive impact,The product itself
4/19/2022 6:45:27,20 to 25 years,Male,Sometimes,Yes,Sometimes,Offers and Discounts,Yes,Yes,Bought the product,Partly influence,Instagram ads,Informative,Privacy concerns,Positive impact,Visual design
4/19/2022 7:05:26,20 to 25 years,Female,Sometimes,No,Sometimes,Relevant ads,Yes,No,Never been tricked,Less influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,The product itself
4/19/2022 7:07:05,15 to 20 years,Male,Rarely,No,Rarely,Fascinating products,Yes,No,Never been tricked,No influence,Instagram ads,Creates personalized experience,Distractive,Negative impact,Visual design
4/19/2022 16:32:14,35 years and above,Female,Sometimes,No,Sometimes,Fascinating products,Yes,No,Didn’t buy the product,Less influence,Youtube ads,Creates personalized experience,Privacy concerns,Negative impact,Visual design
4/19/2022 18:02:25,35 years and above,Female,Often,Yes,Rarely,Offers and Discounts,Yes,Yes,Never been tricked,High influence,Google ads,Helps in comparison shopping,Manipulates you to buy products,Positive impact,Visual design
4/21/2022 14:10:18,25 to 30 years,Male,Often,Yes,Sometimes,Offers and Discounts,Yes,Yes,Didn’t buy the product,High influence,Instagram ads,Informative,Manipulates you to buy products,Positive impact,Information seen in the ad
